uuid, protocol, protocol_response, protocol_estimated_error, l2_error, linf_error
694e0087-31da-4df1-85d5-1c2a234c2d6b,ProtGauss,[ 0.          0.         13.09301071  0.          6.19001081],8.710299259821918,14.003662412295547,12.752428279134051
694e0087-31da-4df1-85d5-1c2a234c2d6b,ProtRejSamp,[12.28869708  0.          0.          0.          3.07668966],12.370847996496835,12.10681687982438,11.799556651668293
694e0087-31da-4df1-85d5-1c2a234c2d6b,ProtAdSamp,"[ 2.96059473e-16 -4.73510424e+00  4.44089210e-16 -1.04172293e+01
 -6.62914594e+00]",5.641582592923409,13.927731927931077,10.780765884918399
694e0087-31da-4df1-85d5-1c2a234c2d6b,Real,[0.48914042 0.48015291 0.34058243 0.36353655 0.45623631],NA,NA
a7468d61-7e46-40a3-bf42-9ef6871b7a1f,ProtGauss,[3.01343878 0.         4.52309047 0.         6.12593121],8.67722617931231,7.536318974098303,5.697781852817564
a7468d61-7e46-40a3-bf42-9ef6871b7a1f,ProtRejSamp,[0.         1.52501695 2.45347976 5.99734294 4.42590311],12.323875781242704,7.132345100631708,5.420400822435662
a7468d61-7e46-40a3-bf42-9ef6871b7a1f,ProtAdSamp,[-3.14008305  0.94700917 -5.84917431  2.84102752  1.80792661],5.641513049017342,7.677185512840351,6.2161037226220826
a7468d61-7e46-40a3-bf42-9ef6871b7a1f,Real,[0.4825801  0.5653344  0.36692941 0.57694211 0.42814936],NA,NA
e474e97d-da2c-4816-a93a-efa0bb718edc,ProtGauss,[5.46390007 0.         5.32421874 0.25132511 0.        ],8.017393612474189,7.080798236831887,5.073614294193264
e474e97d-da2c-4816-a93a-efa0bb718edc,ProtRejSamp,[0.         0.         3.62285021 0.         5.25567246],11.386745133488171,5.779860643955212,4.760777968089617
e474e97d-da2c-4816-a93a-efa0bb718edc,ProtAdSamp,[ 8.3315966   1.2219675  -0.87283393 -0.96471119  6.7529783 ],5.199637064742165,10.336422941953602,7.941310828809274
e474e97d-da2c-4816-a93a-efa0bb718edc,Real,[0.39028577 0.36823761 0.4306725  0.51367474 0.4948945 ],NA,NA
faf4ea75-9490-4110-bc34-5fd6722d6de7,ProtGauss,[0.         3.66704357 0.         7.3400768  0.        ],8.665276017857426,7.61393050389541,6.933103480181239
faf4ea75-9490-4110-bc34-5fd6722d6de7,ProtRejSamp,[0.49528925 0.69751305 0.         7.96933451 2.24864375],12.306903502049739,7.744426983342378,7.562361188021034
faf4ea75-9490-4110-bc34-5fd6722d6de7,ProtAdSamp,[ 0.79415122 -5.95613413  5.41466739 -3.97075608  4.58164164],5.632034808568079,10.215096469738848,6.6241587040265655
faf4ea75-9490-4110-bc34-5fd6722d6de7,Real,[0.62936786 0.66802458 0.3543425  0.40697332 0.62308621],NA,NA
d6ddf6ac-d87d-4bfb-b8cb-aad991a2a141,ProtGauss,[0.         0.21092872 3.14858375 4.37134129 5.79865498],9.317248472613242,7.1913493747424155,5.360130460526834
d6ddf6ac-d87d-4bfb-b8cb-aad991a2a141,ProtRejSamp,[10.94608949  0.          0.38907537  0.          1.56691514],13.232870784585103,10.473231213341736,10.386673984429878
d6ddf6ac-d87d-4bfb-b8cb-aad991a2a141,ProtAdSamp,[10.32933072 -4.28687639 -5.37808128 -1.03787534  9.20249464],5.593979985221377,15.257230479512932,9.769915218553479
d6ddf6ac-d87d-4bfb-b8cb-aad991a2a141,Real,[0.5594155  0.58099399 0.51189174 0.42387774 0.43852452],NA,NA
de0ca2b0-2f6a-4952-b7be-db8ff173a502,ProtGauss,[4.52514009 0.         2.99916041 7.82178681 0.        ],10.80614332647393,8.729995781530114,7.316333772375581
de0ca2b0-2f6a-4952-b7be-db8ff173a502,ProtRejSamp,[ -2.66764176 -15.88636727  11.60377028  -1.51178283 -11.15553316],15.347481473661878,23.240912647727303,16.36154551618011
de0ca2b0-2f6a-4952-b7be-db8ff173a502,ProtAdSamp,[ -1.17623851 -10.58614662   8.88713543  -4.28486887   1.99960547],5.672394570427402,14.861427748256899,11.06132486665171
de0ca2b0-2f6a-4952-b7be-db8ff173a502,Real,[0.52368884 0.47517825 0.50233268 0.50545304 0.4610111 ],NA,NA
44a67772-ebd9-4b9e-bad7-0ca05eebc8ce,ProtGauss,[0.         0.         8.21949695 4.58828233 5.8627443 ],11.012254679959927,10.290444731993523,7.720688866849762
44a67772-ebd9-4b9e-bad7-0ca05eebc8ce,ProtRejSamp,"[-8.97963073e+00 -2.79482898e+01  2.22082427e+00 -7.15085500e-03
 -1.40657539e+01]",15.640212199469298,33.44647499848921,28.528565045134396
